sn,WORD,NW,word_len,cnt
15,Buses,18,5,40
15,can,19,3,40
15,be,20,2,40
15,crowded,21,7,40
15,and,22,3,40
15,"unpredictable,",23,14,40
15,and,24,3,40
15,I,25,1,40
15,prefer,26,6,40
15,to,27,2,40
15,have,28,4,40
15,more,29,4,40
15,control,30,7,40
15,over,31,4,40
15,my,32,2,40
15,transportation.,33,15,40
15,Thank,34,5,40
15,you,35,3,40
15,for,36,3,40
15,the,37,3,40
15,"invitation,",38,11,40
15,though.,39,7,40
16,"Sure,",0,5,52
16,I,1,1,52
16,can,2,3,52
16,help,3,4,52
16,you,4,3,52
16,with,5,4,52
16,that.,6,5,52
16,Can,7,3,52
16,you,8,3,52
16,provide,9,7,52
16,me,10,2,52
16,with,11,4,52
16,more,12,4,52
16,information,13,11,52
16,about,14,5,52
16,the,15,3,52
16,symptoms,16,8,52
16,the,17,3,52
16,patient,18,7,52
16,is,19,2,52
16,experiencing?,20,13,52
16,For,21,3,52
16,"example,",22,8,52
16,is,23,2,52
16,there,24,5,52
16,any,25,3,52
16,particular,26,10,52
16,area,27,4,52
16,of,28,2,52
16,the,29,3,52
16,abdomen,30,7,52
16,that,31,4,52
16,is,32,2,52
16,hurting?,33,8,52
16,Is,34,2,52
16,the,35,3,52
16,pain,36,4,52
16,constant,37,8,52
16,or,38,2,52
16,intermittent?,39,13,52
16,Does,40,4,52
16,the,41,3,52
16,patient,42,7,52
16,experience,43,10,52
16,any,44,3,52
16,other,45,5,52
16,"symptoms,",46,9,52
16,such,47,4,52
16,as,48,2,52
16,nausea,49,6,52
16,or,50,2,52
16,vomiting?,51,9,52
17,Socrates,0,8,81
17,employed,1,8,81
17,a,2,1,81
17,method,3,6,81
17,of,4,2,81
17,questioning,5,11,81
17,known,6,5,81
17,as,7,2,81
17,the,8,3,81
17,Socratic,9,8,81
17,method,10,6,81
17,to,11,2,81
17,challenge,12,9,81
17,the,13,3,81
17,prevailing,14,10,81
17,thoughts,15,8,81
17,of,16,2,81
17,his,17,3,81
17,time.,18,5,81
17,He,19,2,81
17,would,20,5,81
17,engage,21,6,81
17,in,22,2,81
17,dialogues,23,9,81
17,with,24,4,81
17,"people,",25,7,81
17,asking,26,6,81
17,them,27,4,81
17,a,28,1,81
17,series,29,6,81
17,of,30,2,81
17,questions,31,9,81
17,to,32,2,81
17,help,33,4,81
17,them,34,4,81
17,examine,35,7,81
17,their,36,5,81
17,beliefs,37,7,81
17,and,38,3,81
17,assumptions.,39,12,81
17,Through,40,7,81
17,this,41,4,81
17,"process,",42,8,81
17,he,43,2,81
17,would,44,5,81
17,expose,45,6,81
17,contradictions,46,14,81
17,and,47,3,81
17,inconsistencies,48,15,81
17,in,49,2,81
17,their,50,5,81
17,"thinking,",51,9,81
17,and,52,3,81
17,encourage,53,9,81
17,them,54,4,81
17,to,55,2,81
17,think,56,5,81
17,more,57,4,81
17,deeply,58,6,81
17,and,59,3,81
17,critically,60,10,81
17,about,61,5,81
17,their,62,5,81
17,ideas.,63,6,81
17,Socrates,64,8,81
17,believed,65,8,81
17,that,66,4,81
17,this,67,4,81
17,process,68,7,81
17,of,69,2,81
17,questioning,70,11,81
17,and,71,3,81
17,self-examination,72,16,81
17,was,73,3,81
17,essential,74,9,81
17,for,75,3,81
17,gaining,76,7,81
17,true,77,4,81
17,knowledge,78,9,81
17,and,79,3,81
17,wisdom.,80,7,81
18,As,0,2,91
18,soon,1,4,91
18,as,2,2,91
18,the,3,3,91
18,alarm,4,5,91
18,clock,5,5,91
18,went,6,4,91
18,"off,",7,4,91
18,Jane,8,4,91
18,knew,9,4,91
18,something,10,9,91
18,was,11,3,91
18,different.,12,10,91
18,She,13,3,91
18,sat,14,3,91
18,up,15,2,91
18,in,16,2,91
18,bed,17,3,91
18,and,18,3,91
18,looked,19,6,91
18,around,20,6,91
18,her,21,3,91
18,"room,",22,5,91
18,trying,23,6,91
18,to,24,2,91
18,figure,25,6,91
18,out,26,3,91
18,what,27,4,91
18,it,28,2,91
18,was.,29,4,91
18,And,30,3,91
18,then,31,4,91
18,she,32,3,91
18,saw,33,3,91
18,it,34,2,91
18,-,35,1,91
18,the,36,3,91
18,clock,37,5,91
18,on,38,2,91
18,her,39,3,91
18,bedside,40,7,91
18,table,41,5,91
18,was,42,3,91
18,flashing,43,8,91
18,an,44,2,91
18,unfamiliar,45,10,91
18,sequence,46,8,91
18,of,47,2,91
18,numbers.,48,8,91
18,As,49,2,91
18,she,50,3,91
18,reached,51,7,91
18,to,52,2,91
18,turn,53,4,91
18,it,54,2,91
18,"off,",55,4,91
18,she,56,3,91
18,felt,57,4,91
18,a,58,1,91
18,strange,59,7,91
18,tingling,60,8,91
18,sensation,61,9,91
18,all,62,3,91
18,over,63,4,91
18,her,64,3,91
18,body.,65,5,91
18,"Suddenly,",66,9,91
18,she,67,3,91
18,was,68,3,91
18,transported,69,11,91
18,to,70,2,91
18,a,71,1,91
18,different,72,9,91
18,time,73,4,91
18,and,74,3,91
18,place.,75,6,91
18,Confused,76,8,91
18,and,77,3,91
18,"disoriented,",78,12,91
18,Jane,79,4,91
18,realized,80,8,91
18,that,81,4,91
18,she,82,3,91
18,had,83,3,91
18,somehow,84,7,91
18,gained,85,6,91
18,the,86,3,91
18,ability,87,7,91
18,to,88,2,91
18,time,89,4,91
18,travel.,90,7,91
19,As,0,2,83
19,an,1,2,83
19,AI,2,2,83
19,language,3,8,83
19,"model,",4,6,83
19,I,5,1,83
19,do,6,2,83
19,not,7,3,83
19,have,8,4,83
19,the,9,3,83
19,ability,10,7,83
19,to,11,2,83
19,feel,12,4,83
19,emotions.,13,9,83
19,"However,",14,8,83
19,if,15,2,83
19,I,16,1,83
19,were,17,4,83
19,to,18,2,83
19,imagine,19,7,83
19,myself,20,6,83
19,as,21,2,83
19,a,22,1,83
19,"tree,",23,5,83
19,I,24,1,83
19,would,25,5,83
19,feel,26,4,83
19,a,27,1,83
19,sense,28,5,83
19,of,29,2,83
19,fear,30,4,83
19,and,31,3,83
19,pain,32,4,83
19,as,33,2,83
19,my,34,2,83
19,existence,35,9,83
19,is,36,2,83
19,threatened,37,10,83
19,and,38,3,83
19,my,39,2,83
19,physical,40,8,83
19,body,41,4,83
19,is,42,2,83
19,being,43,5,83
19,damaged.,44,8,83
19,I,45,1,83
19,would,46,5,83
19,also,47,4,83
19,feel,48,4,83
19,a,49,1,83
19,sense,50,5,83
19,of,51,2,83
19,sadness,52,7,83
19,and,53,3,83
19,loss,54,4,83
19,as,55,2,83
19,I,56,1,83
19,witness,57,7,83
19,the,58,3,83
19,destruction,59,11,83
19,of,60,2,83
19,my,61,2,83
19,forest,62,6,83
19,home,63,4,83
19,and,64,3,83
19,the,65,3,83
19,displacement,66,12,83
19,of,67,2,83
19,my,68,2,83
19,fellow,69,6,83
19,plant,70,5,83
19,and,71,3,83
19,animal,72,6,83
19,species.,73,8,83
19,"Overall,",74,8,83
19,it,75,2,83
19,would,76,5,83
19,be,77,2,83
19,a,78,1,83
19,devastating,79,11,83
19,and,80,3,83
19,traumatic,81,9,83
19,experience.,82,11,83
20,This,0,4,47
20,is,1,2,47
20,a,2,1,47
20,famous,3,6,47
20,line,4,4,47
20,from,5,4,47
20,the,6,3,47
20,Chinese,7,7,47
20,poem,8,4,47
20,"""长恨歌""",9,5,47
20,(Chang,10,6,47
20,Hen,11,3,47
20,Ge),12,3,47
20,written,13,7,47
20,by,14,2,47
20,the,15,3,47
20,Tang,16,4,47
20,dynasty,17,7,47
20,poet,18,4,47
20,Bai,19,3,47
20,Juyi.,20,5,47
20,In,21,2,47
20,"English,",22,8,47
20,it,23,2,47
20,translates,24,10,47
20,to,25,2,47
20,"""As",26,3,47
20,my,27,2,47
20,sash,28,4,47
20,gradually,29,9,47
